scorer,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000
bodyparts,Head,Head,Head,Nose,Nose,Nose,Coccyx,Coccyx,Coccyx,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,634.1541748,373.2511292,0.999992847,664.2216187,398.3601074,0.999998569,565.387085,256.1984253,0.999995828,663.9568481,399.6463928,0.006049693
1,634.1378784,373.2448425,0.999992847,664.2351074,398.2533569,0.999998569,565.4377441,256.0913391,0.999995232,663.928833,399.62677,0.005911142
2,637.3531494,374.8827209,0.999994874,666.5941162,399.4920044,0.999999762,563.6105957,257.4090576,0.999999344,671.0070801,399.3604431,0.016873837
3,639.8267212,375.6595764,0.999995112,669.2243042,400.1496887,0.999999762,562.2985229,259.5439148,0.999999583,672.4470215,399.6760254,0.011741787
4,643.5479736,376.5279541,0.999998093,671.4022827,401.1237793,0.99999994,560.0618286,263.2282715,0.99999547,557.9491577,256.7226868,0.01978159
5,646.6947632,376.9361877,0.999992311,673.7409668,401.7110901,0.999999881,555.4833984,268.9053955,0.9999879,675.3574829,400.708374,0.031985462
6,651.0923462,380.7355957,0.999986887,674.5923462,402.8393555,0.999999523,553.2435913,271.9597168,0.999996185,676.1566162,401.9599304,0.192465276
7,655.5993042,382.3649902,0.999980807,676.7889404,403.5662231,0.999999285,550.6460571,274.8447266,0.999999583,677.9839478,403.0448303,0.100376964
8,658.4898071,381.2779541,0.999981344,679.2457886,404.1387939,0.999998212,549.1547852,277.0929565,0.999999225,680.364624,402.556366,0.038903564
9,663.5620117,381.4735107,0.999992192,681.5825806,405.1598206,0.999996424,547.8043823,279.8434448,0.999998093,681.9181519,403.1779785,0.107665926
10,665.7749634,381.6116333,0.999984145,682.8602295,405.092865,0.999997616,550.7102661,283.3296814,0.999994278,682.8199463,403.2599792,0.101823479
11,668.5740967,381.6444702,0.999983311,684.8770142,405.3663025,0.999997854,548.5223389,285.8076782,0.999997675,687.0055542,403.651886,0.10068804
12,669.9818726,382.296814,0.999985278,685.777832,404.2911682,0.999997914,546.0270386,290.3565979,0.999998569,532.3234253,281.3528748,0.989294112
13,670.788269,382.5094604,0.999989688,686.1625366,404.7546082,0.999998569,546.5863647,292.8234253,0.999997973,531.984375,284.8817139,0.978178561
14,671.842041,382.9219666,0.999985337,686.4462891,405.841156,0.999999046,545.1047363,294.9302979,0.99999696,529.8276367,289.4772644,0.994821072
15,674.1045532,384.5582886,0.999986649,689.2798462,408.0053101,0.999998927,545.8067627,294.3831482,0.999998033,531.2370605,288.9520874,0.980700612
16,675.3231812,385.7893982,0.999991357,689.0588379,409.5643921,0.999999285,544.1046143,297.9430847,0.999992669,530.6565552,292.7534485,0.999243736
17,676.5840454,386.9485474,0.999992967,689.5446167,410.4668274,0.999999702,545.3111572,298.1949158,0.999994159,532.6307373,291.2976379,0.999970794
18,678.0961304,387.9475403,0.999976575,688.9352417,411.3295288,0.999999583,546.8653564,297.8277588,0.999996066,532.9550781,291.5454407,0.999791265
19,678.9019775,388.6564331,0.99999541,689.187439,411.6911621,0.999999762,549.6848755,297.300293,0.999994993,534.2427979,291.2263794,0.998950064
20,679.663147,390.0089722,0.99999553,689.2008667,412.2767944,0.999999583,552.151123,296.4824829,0.999980986,535.050415,291.1287231,0.971215725
21,680.2682495,391.7933044,0.999990523,689.2861938,414.7124329,0.999999583,554.6534424,295.5350647,0.999963343,535.8381348,292.1947937,0.953345358
22,680.8553467,392.7713318,0.999987662,689.4686279,416.0185242,0.999999762,558.2852173,293.8440857,0.999988437,537.3336182,291.7437744,0.030745268
23,681.8739624,392.7113647,0.999989688,690.1860352,416.8881226,0.999999881,560.5959473,292.2819824,0.999995232,552.6731567,298.4156799,0.005547434
24,682.1976929,393.3700562,0.999988556,690.6294556,417.9142456,0.999999881,560.5765991,292.4404602,0.99999547,552.8756104,298.379364,0.006934285
25,682.265564,394.3276978,0.999990642,690.5472412,418.9489746,0.99999994,560.9395752,292.6454773,0.99999702,553.0145874,298.5112305,0.008085608
26,682.3738403,396.0762329,0.999991417,690.5491333,419.6642761,0.999999881,561.246521,292.8684692,0.999997616,553.2215576,298.6935425,0.008676618
27,683.0045776,397.6856995,0.99999094,690.2808838,419.5581665,0.999999881,560.8460083,293.3514099,0.999996483,552.262085,298.8704834,0.006937534
28,683.600647,398.4539795,0.999987721,689.8921509,420.1265259,0.999999881,560.9032593,293.7875977,0.99999702,551.2689209,298.6629333,0.007057846
29,684.1983032,399.8496094,0.999963164,689.5441284,419.8360901,0.999999762,560.5036011,294.2751465,0.999995232,550.6845703,298.0620728,0.00856784
30,684.9944458,402.0000305,0.999994159,689.6048584,420.7256775,0.999999702,561.0001221,294.7156372,0.999995828,550.5935059,297.9767761,0.008342505
31,685.3118286,403.3526917,0.999996305,690.2425537,421.2328796,0.999999285,561.2498169,295.9914856,0.999984682,544.7365723,293.3204041,0.051630259
32,685.8922119,404.6791687,0.999995708,690.3261719,422.92453,0.999999762,557.4150391,301.5012512,0.999907732,543.675293,294.4845276,0.995602965
33,686.2822266,409.240387,0.999979258,689.9812622,424.8049011,0.999998391,555.4110718,306.1775818,0.999984622,543.5294189,295.6923218,0.999609053
34,684.6657715,414.2575989,0.999922752,689.7460327,427.0560913,0.999998808,553.5196533,313.3727417,0.999990404,545.4699707,295.4150391,0.999997377
35,683.748291,416.7052917,0.999984026,688.9593506,428.1101685,0.999998212,556.8166504,314.2780457,0.99998343,546.6228638,295.7436218,0.999993801
36,683.2385254,418.7958069,0.99999249,686.3615723,430.2210083,0.99999851,558.9482422,313.8240967,0.999988556,550.1002808,295.9150696,0.999996841
37,682.083313,421.5682678,0.999994159,684.5842285,434.3666382,0.999999404,562.2263794,314.9863281,0.999998629,552.9108276,295.325592,0.999986947
38,681.0084839,425.771759,0.999990404,683.1634521,437.6827087,0.999998927,564.4614258,316.0809631,0.999998152,557.0720825,295.9786682,0.999985099
39,680.7086792,429.569458,0.999990344,682.6477661,441.4423218,0.999987841,568.5396118,318.4037476,0.999993563,562.0839233,294.7424011,0.999999046
40,680.7421875,434.822052,0.999996185,682.9303589,445.5902405,0.999989688,569.2015991,322.4570007,0.999996901,564.4765015,297.2841187,0.999998152
41,681.7478027,437.2451172,0.99998647,684.031311,449.7634888,0.999998927,572.8762207,323.1918335,0.999998689,568.2880249,296.8743591,0.999988675
42,683.0706177,442.5028076,0.99980545,685.6956177,454.040863,0.999994457,576.7301025,325.4282532,0.999998331,571.0473022,300.5631409,0.999985099
43,684.312439,446.9294739,0.999933422,688.1887817,458.4351807,0.9999879,578.5768433,327.5449524,0.999997437,571.1751099,305.190033,0.999993205
44,686.501709,450.9453735,0.999985695,689.6723022,462.535675,0.999992609,581.8234253,328.3118286,0.999993324,574.2084961,311.3800659,0.999983609
45,688.4494019,456.0872803,0.999993742,692.1055908,465.8559265,0.99998033,582.7650757,333.8748169,0.999982119,576.7445068,317.5159607,0.999986887
